name,type,sku,image_url,description,quantity,price
"HD Streaming Stick","Electronics","HDS-4K-V2","https://example.com/images/stick.jpg","Stream your favorite shows in 4K HDR. Easy setup.",115,49.99
"Mystery Novel: The Silent Witness","Books","BK-MYS-456","https://example.com/images/novel.jpg","A thrilling mystery novel by a best-selling author.",230,15.99
"Digital Kitchen Scale","Home Goods","DKS-11-SLV","https://example.com/images/scale.jpg","A precise digital scale for cooking and baking.",280,16.95
"Canvas Backpack","Apparel","CBP-15L-GRN","https://example.com/images/backpack.jpg","A durable canvas backpack suitable for laptops.",100,55.00
"Screen Cleaning Kit","Accessories","SCK-100-ML","https://example.com/images/cleaningkit.jpg","A kit for cleaning screens on all your devices.",400,11.99
"Electric Kettle","Home Goods","EKT-17L-SS","https://example.com/images/kettle.jpg","A 1.7L stainless steel electric kettle with auto shut-off.",85,33.50
"Classic Aviator Sunglasses","Apparel","CAS-G15-PL","https://example.com/images/sunglasses.jpg","Timeless aviator sunglasses with polarized lenses.",250,75.00
"Whiteboard 24x36","Office Supplies","WBD-2436-WHT","https://example.com/images/whiteboard.jpg","A magnetic whiteboard with a marker and eraser.",70,44.99
"VR Headset","Electronics","VRH-G2-WHT","https://example.com/images/vrheadset.jpg","An immersive virtual reality headset for gaming and media.",40,399.00
"Air Purifier","Home Goods","APR-H13-WHT","https://example.com/images/purifier.jpg","A HEPA air purifier for small to medium-sized rooms.",65,89.99
"Mechanical Pencil Set","Office Supplies","MPS-05-BLK","https://example.com/images/pencils.jpg","A set of 4 mechanical pencils with lead refills.",350,9.99
"Power Bank 20000mAh","Accessories","PBK-20K-BLK","https://example.com/images/powerbank.jpg","A high-capacity power bank with fast charging ports.",125,42.99
"Silk Pillowcase","Home Goods","SPC-QN-SLV","https://example.com/images/pillowcase.jpg","A 100% mulberry silk pillowcase for hair and skin.",180,27.50
"Denim Jeans","Apparel","DNM-32-BLU","https://example.com/images/jeans.jpg","Classic straight-fit denim jeans.",160,69.99
"USB Microphone","Electronics","USM-C1-BLK","https://example.com/images/microphone.jpg","A condenser microphone for streaming and recording.",90,54.99
"The Minimalist Home","Books","BK-LF-123","https://example.com/images/book2.jpg","A guide to decluttering and simple living.",200,18.99
"Ring Light with Stand","Accessories","RLS-10-ADJ","https://example.com/images/ringlight.jpg","A 10-inch ring light with an adjustable tripod stand.",110,31.50
"Electric Toothbrush","Home Goods","ETB-SNC-BLK","https://example.com/images/toothbrush.jpg","A sonic electric toothbrush with multiple brushing modes.",130,49.95
"Leather Belt","Apparel","LBT-34-BRN","https://example.com/images/belt.jpg","A genuine leather belt with a classic buckle.",240,35.00
"Document Scanner","Office Supplies","DSC-P60-GRY","https://example.com/images/scanner.jpg","A portable document scanner for fast, on-the-go scanning.",55,99.00
"Smartwatch","Electronics","SMW-G4-BLK","https://example.com/images/smartwatch.jpg","A smartwatch with fitness tracking and notifications.",80,199.00
"Cable Management Box","Accessories","CMB-LG-WHT","https://example.com/images/cablebox.jpg","A large box to hide and organize messy cables.",200,26.99
"Throw Blanket","Home Goods","TBK-FLC-GRY","https://example.com/images/blanket.jpg","A soft and cozy fleece throw blanket for your couch.",170,29.99
"Cooking for Beginners","Books","BK-CK-789","https://example.com/images/cookbook.jpg","An essential cookbook with over 100 easy recipes.",190,22.99
